Quote Date,Quote ID,Quote Number,Quote Status,Customer ID,Branch Name,Expiry Date,PurchaseOrder,Currency Code,Exchange Rate,Discount Type,Is Discount Before Tax,Entity Discount Percent,Is Inclusive Tax,SubTotal,Total,Adjustment,Notes,Terms & Conditions,Customer Name,Place of Supply,Place of Supply(With State Code),GST Treatment,GST Identification Number (GSTIN),Is Export Without LUT/Bond,Tax Collected From Customer,Project Name,Project ID,Sales person,Billing Address,Billing City,Billing State,Billing Country,Billing Code,Billing Fax,Template Name,Adjustment Description,Shipping Address,Shipping City,Shipping State,Shipping Country,Shipping Code,Shipping Fax,Source,Reference ID,Last Sync Time,TCS Amount,Entity Discount Amount,TDS Name,TDS Section Code,TDS Section,TDS Percentage,TDS Amount,TCS Tax Name,TCS Percentage,Nature Of Collection,Shipping Charge,Shipping Charge Tax ID,Shipping Charge Tax Amount,Shipping Charge Tax Name,Shipping Charge Tax %,Shipping Charge Tax Type,Shipping Charge Tax Exemption Code,Shipping Charge SAC Code,Item Name,Item Desc,HSN/SAC,Quantity,Discount,Discount Amount,Item Tax Amount,Item Total,MRP,Is Tax Calculated on Label Price,Product ID,Account,SKU,UPC,MPN,EAN,ISBN,Usage unit,Item Price,Supply Type,Tax ID,Item Tax,Item Tax %,Item Tax Type,Reverse Charge Tax Name,Reverse Charge Tax Rate,Reverse Charge Tax Type,CGST Rate %,SGST Rate %,IGST Rate %,CESS Rate %,CGST(FCY),SGST(FCY),IGST(FCY),CESS(FCY),CGST,SGST,IGST,CESS,Item Tax Exemption Reason,Item Type,Loaction,Kit Combo Item Name,Item.CF.No of pcs in Master carton
2020-08-05,99381000001205074,EST004,sent,99381000000011562,Cochin,,,INR,1.00,entity_level,true,0.00,false,5720.00,5720.00,0.00,Looking forward for your business.,This is an estimate of the machines stamping plates of the invoice YS916,THRASCO SOLUTIONS,32,32-Kerala,consumer,,NO,NO,,,,Tirur Road,Malappuram,kerala,,676102,,Standard Template,Adjustment,Tirur Road,Malappuram,kerala,,676102,,1,,,,0.000,,,,0.00,0.000,,,,0.00,,,,,,,,Government Stamping Fee 20 KG,Serial No:TH13585 To TH13594,998729,10.00,0.00,0.0,0.00,1700.00,,FALSE,99381000000172016,Sales,SF20,,,,,nos,170.00,Zero Rated,99381000000006152,GST0,0.00,Tax Group,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,goods,,,
2020-08-05,99381000001205074,EST004,sent,99381000000011562,Cochin,,,INR,1.00,entity_level,true,0.00,false,5720.00,5720.00,0.00,Looking forward for your business.,This is an estimate of the machines stamping plates of the invoice YS916,THRASCO SOLUTIONS,32,32-Kerala,consumer,,NO,NO,,,,Tirur Road,Malappuram,kerala,,676102,,Standard Template,Adjustment,Tirur Road,Malappuram,kerala,,676102,,1,,,,0.000,,,,0.00,0.000,,,,0.00,,,,,,,,Government Stamping Fee 50 kg,Serial No:TH13836 To TH13847,998729,12.00,0.00,0.0,0.00,4020.00,,FALSE,99381000000186036,Sales,SF50,,,,,nos,335.00,Zero Rated,99381000000006152,GST0,0.00,Tax Group,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,goods,,,
2020-08-05,99381000001205098,EST005,sent,99381000000385047,Cochin,,,INR,1.00,entity_level,true,0.00,false,6080.00,6080.00,0.00,Looking forward for your business.,This ie an estimate of the machines stamping plates of the invoice YS929,GOODWILL ENGINEERS CORPORATION,32,32-Kerala,business_gst,32AAKFG1445M1ZD,NO,NO,,,,14/498,Manjeri,Kerala,,676121,,Standard Template,Adjustment,14/498,Manjeri,Kerala,,676121,,1,,,,0.000,,,,0.00,0.000,,,,0.00,,,,,,,,Government Stamping Fee 20 KG,"Serial No:TG11542 To TG11544
                 TG11694 To TG11709 & TG11625",998729,20.00,0.00,0.0,0.00,3400.00,,FALSE,99381000000172016,Sales,SF20,,,,,nos,170.00,Zero Rated,99381000000006152,GST0,0.00,Tax Group,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,goods,,,
2020-08-05,99381000001205098,EST005,sent,99381000000385047,Cochin,,,INR,1.00,entity_level,true,0.00,false,6080.00,6080.00,0.00,Looking forward for your business.,This ie an estimate of the machines stamping plates of the invoice YS929,GOODWILL ENGINEERS CORPORATION,32,32-Kerala,business_gst,32AAKFG1445M1ZD,NO,NO,,,,14/498,Manjeri,Kerala,,676121,,Standard Template,Adjustment,14/498,Manjeri,Kerala,,676121,,1,,,,0.000,,,,0.00,0.000,,,,0.00,,,,,,,,Government Stamping Fee 50 kg,"Serial No:TG11554 To TG11556
                 TG11771 To TG11775",998729,8.00,0.00,0.0,0.00,2680.00,,FALSE,99381000000186036,Sales,SF50,,,,,nos,335.00,Zero Rated,99381000000006152,GST0,0.00,Tax Group,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,goods,,,
2020-08-05,99381000001205122,EST006,sent,99381000000014461,Cochin,,,INR,1.00,entity_level,true,0.00,false,6930.00,6930.00,0.00,Looking forward for your business.,This is an estimate of the machines stampingbplates of the invoice YS945,MASS TECHNOLOGY,32,32-Kerala,business_gst,32ATZPV7500Q1ZN,NO,NO,,,,MEETHALEKANDY COMPLEX,KOYILANDY,Kerala,India,673305,,Standard Template,Adjustment,MEETHALEKANDY COMPLEX,KOYILANDY,Kerala,India,673305,,1,,,,0.000,,,,0.00,0.000,,,,0.00,,,,,,,,Government Stamping Fee 20 KG,Serial No:TH13560 To TH13584,998729,25.00,0.00,0.0,0.00,4250.00,,FALSE,99381000000172016,Sales,SF20,,,,,nos,170.00,Zero Rated,99381000000006152,GST0,0.00,Tax Group,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,goods,,,
2020-08-05,99381000001205122,EST006,sent,99381000000014461,Cochin,,,INR,1.00,entity_level,true,0.00,false,6930.00,6930.00,0.00,Looking forward for your business.,This is an estimate of the machines stampingbplates of the invoice YS945,MASS TECHNOLOGY,32,32-Kerala,business_gst,32ATZPV7500Q1ZN,NO,NO,,,,MEETHALEKANDY COMPLEX,KOYILANDY,Kerala,India,673305,,Standard Template,Adjustment,MEETHALEKANDY COMPLEX,KOYILANDY,Kerala,India,673305,,1,,,,0.000,,,,0.00,0.000,,,,0.00,,,,,,,,Government Stamping Fee 50 kg,Serial No:TH13828 To TH13835,998729,8.00,0.00,0.0,0.00,2680.00,,FALSE,99381000000186036,Sales,SF50,,,,,nos,335.00,Zero Rated,99381000000006152,GST0,0.00,Tax Group,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,goods,,,
2020-08-05,99381000001205146,EST007,sent,99381000000011046,Cochin,,,INR,1.00,entity_level,true,0.00,false,11080.00,11080.00,0.00,Looking forward for your business.,This is an estimate of the machines stamping plates of the invoice YS915,GLOBAL DIGITAL SYSTEM,32,32-Kerala,consumer,,NO,NO,,,,Baris Complex,"Vengara, Malappuram",Kerala,,676304,,Standard Template,Adjustment,Baris Complex,"Vengara, Malappuram",Kerala,,676304,,1,,,,0.000,,,,0.00,0.000,,,,0.00,,,,,,,,Government Stamping Fee 30 kg,Serial No:TG11710 To TG11729,998729,20.00,0.00,0.0,0.00,6700.00,,FALSE,99381000000186027,Sales,SF30,,,,,nos,335.00,Zero Rated,99381000000006152,GST0,0.00,Tax Group,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,goods,,,
2020-08-05,99381000001205146,EST007,sent,99381000000011046,Cochin,,,INR,1.00,entity_level,true,0.00,false,11080.00,11080.00,0.00,Looking forward for your business.,This is an estimate of the machines stamping plates of the invoice YS915,GLOBAL DIGITAL SYSTEM,32,32-Kerala,consumer,,NO,NO,,,,Baris Complex,"Vengara, Malappuram",Kerala,,676304,,Standard Template,Adjustment,Baris Complex,"Vengara, Malappuram",Kerala,,676304,,1,,,,0.000,,,,0.00,0.000,,,,0.00,,,,,,,,Government Stamping Fee 20 KG,Serial No:TG11626 To TG11635,998729,10.00,0.00,0.0,0.00,1700.00,,FALSE,99381000000172016,Sales,SF20,,,,,nos,170.00,Zero Rated,99381000000006152,GST0,0.00,Tax Group,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,goods,,,
2020-08-05,99381000001205146,EST007,sent,99381000000011046,Cochin,,,INR,1.00,entity_level,true,0.00,false,11080.00,11080.00,0.00,Looking forward for your business.,This is an estimate of the machines stamping plates of the invoice YS915,GLOBAL DIGITAL SYSTEM,32,32-Kerala,consumer,,NO,NO,,,,Baris Complex,"Vengara, Malappuram",Kerala,,676304,,Standard Template,Adjustment,Baris Complex,"Vengara, Malappuram",Kerala,,676304,,1,,,,0.000,,,,0.00,0.000,,,,0.00,,,,,,,,Government Stamping Fee 50 kg,Serial No:TG11776 To TG11783,998729,8.00,0.00,0.0,0.00,2680.00,,FALSE,99381000000186036,Sales,SF50,,,,,nos,335.00,Zero Rated,99381000000006152,GST0,0.00,Tax Group,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,goods,,,
2020-08-06,99381000001205537,EST008,sent,99381000000940651,Cochin,,,INR,1.00,entity_level,true,0.00,false,7780.00,7780.00,0.00,Looking forward for your business.,This is an estimate of the machines stamping plates of the invoice YS918,MUDRA SCALE-KOZHIKODE,32,32-Kerala,business_gst,32BMNPR6553F1ZS,NO,NO,,,,"KP 15/153-B
Po. Pavandoor",Kozhikode,Kerala,India,673613,,Standard Template,Adjustment,"KP 15/153-B
Po. Pavandoor",Kozhikode,Kerala,India,673613,,1,,,,0.000,,,,0.00,0.000,,,,0.00,,,,,,,,Government Stamping Fee 20 KG,Serial No:TH13610 To TH13639,998729,30.00,0.00,0.0,0.00,5100.00,,FALSE,99381000000172016,Sales,SF20,,,,,nos,170.00,Zero Rated,99381000000006152,GST0,0.00,Tax Group,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,goods,,,
2020-08-06,99381000001205537,EST008,sent,99381000000940651,Cochin,,,INR,1.00,entity_level,true,0.00,false,7780.00,7780.00,0.00,Looking forward for your business.,This is an estimate of the machines stamping plates of the invoice YS918,MUDRA SCALE-KOZHIKODE,32,32-Kerala,business_gst,32BMNPR6553F1ZS,NO,NO,,,,"KP 15/153-B
Po. Pavandoor",Kozhikode,Kerala,India,673613,,Standard Template,Adjustment,"KP 15/153-B
Po. Pavandoor",Kozhikode,Kerala,India,673613,,1,,,,0.000,,,,0.00,0.000,,,,0.00,,,,,,,,Government Stamping Fee 50 kg,Serial No:TH13856 To TH13863,998729,8.00,0.00,0.0,0.00,2680.00,,FALSE,99381000000186036,Sales,SF50,,,,,nos,335.00,Zero Rated,99381000000006152,GST0,0.00,Tax Group,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,goods,,,
2020-08-06,99381000001205553,EST009,sent,99381000000126001,Cochin,,,INR,1.00,entity_level,true,0.00,false,5230.00,5230.00,0.00,Looking forward for your business.,This is an estimate of the machines stamping plates of the invoice YS927,YELLOW SCALES,32,32-Kerala,business_gst,32CPDPS6051P1ZG,NO,NO,,,,KUMBALAM JUNCTION,KOCHIN,KERALA,India,682506,,Standard Template,Adjustment,KUMBALAM JUNCTION,KOCHIN,KERALA,India,682506,,1,,,,0.000,,,,0.00,0.000,,,,0.00,,,,,,,,Government Stamping Fee 20 KG,Serial No:TH13595 To TH13609,998729,15.00,0.00,0.0,0.00,2550.00,,FALSE,99381000000172016,Sales,SF20,,,,,nos,170.00,Zero Rated,99381000000006152,GST0,0.00,Tax Group,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,goods,,,
2020-08-06,99381000001205553,EST009,sent,99381000000126001,Cochin,,,INR,1.00,entity_level,true,0.00,false,5230.00,5230.00,0.00,Looking forward for your business.,This is an estimate of the machines stamping plates of the invoice YS927,YELLOW SCALES,32,32-Kerala,business_gst,32CPDPS6051P1ZG,NO,NO,,,,KUMBALAM JUNCTION,KOCHIN,KERALA,India,682506,,Standard Template,Adjustment,KUMBALAM JUNCTION,KOCHIN,KERALA,India,682506,,1,,,,0.000,,,,0.00,0.000,,,,0.00,,,,,,,,Government Stamping Fee 50 kg,Serial No:TH13848 To TH13855,998729,8.00,0.00,0.0,0.00,2680.00,,FALSE,99381000000186036,Sales,SF50,,,,,nos,335.00,Zero Rated,99381000000006152,GST0,0.00,Tax Group,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,goods,,,
2020-08-06,99381000001205679,EST010,sent,99381000000151001,Cochin,,,INR,1.00,entity_level,true,0.00,false,27520.00,27520.00,0.00,Looking forward for your business.,,Dynamic Enterprises,32,32-Kerala,business_gst,32ATJPS7075B1ZN,NO,NO,,,,XIV/217C SUNRISE BUILDING,THRISSUR,Kerala,India,680121,,Standard Template,Adjustment,XIV/217 C SUNRISE BUILDING,THRISSUR,Kerala,India,680121,,1,,,,0.000,,,,0.00,0.000,,,,0.00,,,,,,,,Government Stamping Fee 20 KG,,998729,20.00,0.00,0.0,0.00,3400.00,,FALSE,99381000000172016,Sales,SF20,,,,,nos,170.00,Zero Rated,99381000000006152,GST0,0.00,Tax Group,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,goods,,,
2020-08-06,99381000001205679,EST010,sent,99381000000151001,Cochin,,,INR,1.00,entity_level,true,0.00,false,27520.00,27520.00,0.00,Looking forward for your business.,,Dynamic Enterprises,32,32-Kerala,business_gst,32ATJPS7075B1ZN,NO,NO,,,,XIV/217C SUNRISE BUILDING,THRISSUR,Kerala,India,680121,,Standard Template,Adjustment,XIV/217 C SUNRISE BUILDING,THRISSUR,Kerala,India,680121,,1,,,,0.000,,,,0.00,0.000,,,,0.00,,,,,,,,Government Stamping Fee 30 kg,Serial No:TH14444 To TH14463,998729,20.00,0.00,0.0,0.00,6700.00,,FALSE,99381000000186027,Sales,SF30,,,,,nos,335.00,Zero Rated,99381000000006152,GST0,0.00,Tax Group,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,goods,,,
2020-08-06,99381000001205679,EST010,sent,99381000000151001,Cochin,,,INR,1.00,entity_level,true,0.00,false,27520.00,27520.00,0.00,Looking forward for your business.,,Dynamic Enterprises,32,32-Kerala,business_gst,32ATJPS7075B1ZN,NO,NO,,,,XIV/217C SUNRISE BUILDING,THRISSUR,Kerala,India,680121,,Standard Template,Adjustment,XIV/217 C SUNRISE BUILDING,THRISSUR,Kerala,India,680121,,1,,,,0.000,,,,0.00,0.000,,,,0.00,,,,,,,,Government Stamping Fee 50 kg,,998729,44.00,0.00,0.0,0.00,14740.00,,FALSE,99381000000186036,Sales,SF50,,,,,nos,335.00,Zero Rated,99381000000006152,GST0,0.00,Tax Group,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,goods,,,
2020-08-06,99381000001205679,EST010,sent,99381000000151001,Cochin,,,INR,1.00,entity_level,true,0.00,false,27520.00,27520.00,0.00,Looking forward for your business.,,Dynamic Enterprises,32,32-Kerala,business_gst,32ATJPS7075B1ZN,NO,NO,,,,XIV/217C SUNRISE BUILDING,THRISSUR,Kerala,India,680121,,Standard Template,Adjustment,XIV/217 C SUNRISE BUILDING,THRISSUR,Kerala,India,680121,,1,,,,0.000,,,,0.00,0.000,,,,0.00,,,,,,,,Government Stamping Fee 100Kg,Serial No:TH14496 To TH14500,998729,8.00,0.00,0.0,0.00,2680.00,,FALSE,99381000000663063,Sales,SF100,,,,,nos,335.00,Zero Rated,99381000000006152,GST0,0.00,Tax Group,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,goods,,,
2020-08-06,99381000001205707,EST011,sent,99381000000014010,Cochin,,,INR,1.00,entity_level,true,0.00,false,6080.00,6080.00,0.00,Looking forward for your business.,This is an estimate of the machines stamping plates of the invoice YS926,SOUTHERN SCALE SERVICES,32,32-Kerala,business_gst,32AANFS5802P1ZR,NO,NO,,,,SOUTHERN SCALE SERVICES,"ENGLISH CHURCH ROAD, PALAKKAD",KERALA,INDIA,678014,,Standard Template,Adjustment,SOUTHERN SCALE SERVICES,"ENGLISH CHURCH ROAD, PALAKKAD",KERALA,INDIA,678014,,1,,,,0.000,,,,0.00,0.000,,,,0.00,,,,,,,,Government Stamping Fee 20 KG,Serial No:TH13640 To TH13659,998729,20.00,0.00,0.0,0.00,3400.00,,FALSE,99381000000172016,Sales,SF20,,,,,nos,170.00,Zero Rated,99381000000006152,GST0,0.00,Tax Group,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,goods,,,
